tempo(s);i1(t);i2(t)
0,000260417;9,801714033;12,15869772
0,000520833;19,5090322;23,66638026
0,00078125;29,02846773;34,00439136
0,001041667;38,26834324;42,8877409
0,001302083;47,13967368;50,3116401
0,0015625;55,5570233;56,53247491
0,001822917;63,43932842;61,98790503
0,002083333;70,71067812;67,17514421
0,00234375;77,30104534;72,51634366
0,002604167;83,14696123;78,24303483
0,002864583;88,19212643;84,32707417
0,003125;92,38795325;90,47453609
0,003385417;95,69403357;96,18411927
0,003645833;98,07852804;100,8563792
0,00390625;99,51847267;103,928079
0,004166667;100;105
0,004427083;99,51847267;103,928079
0,0046875;98,07852804;100,8563792
0,004947917;95,69403357;96,18411927
0,005208333;92,38795325;90,47453609
0,00546875;88,19212643;84,32707417
0,005729167;83,14696123;78,24303483
0,005989583;77,30104534;72,51634366
0,00625;70,71067812;67,17514421
0,006510417;63,43932842;61,98790503
0,006770833;55,5570233;56,53247491
0,00703125;47,13967368;50,3116401
0,007291667;38,26834324;42,8877409
0,007552083;29,02846773;34,00439136
0,0078125;19,5090322;23,66638026
0,008072917;9,801714033;12,15869772
0,008333333;5,66604E-14;5,97233E-14
0,00859375;-9,801714033;-12,15869772
0,008854167;-19,5090322;-23,66638026
0,009114583;-29,02846773;-34,00439136
0,009375;-38,26834324;-42,8877409
0,009635417;-47,13967368;-50,3116401
0,009895833;-55,5570233;-56,53247491
0,01015625;-63,43932842;-61,98790503
0,010416667;-70,71067812;-67,17514421
0,010677083;-77,30104534;-72,51634366
0,0109375;-83,14696123;-78,24303483
0,011197917;-88,19212643;-84,32707417
0,011458333;-92,38795325;-90,47453609
0,01171875;-95,69403357;-96,18411927
0,011979167;-98,07852804;-100,8563792
0,012239583;-99,51847267;-103,928079
0,0125;-100;-105
0,012760417;-99,51847267;-103,928079
0,013020833;-98,07852804;-100,8563792
0,01328125;-95,69403357;-96,18411927
0,013541667;-92,38795325;-90,47453609
0,013802083;-88,19212643;-84,32707417
0,0140625;-83,14696123;-78,24303483
0,014322917;-77,30104534;-72,51634366
0,014583333;-70,71067812;-67,17514421
0,01484375;-63,43932842;-61,98790503
0,015104167;-55,5570233;-56,53247491
0,015364583;-47,13967368;-50,3116401
0,015625;-38,26834324;-42,8877409
0,015885417;-29,02846773;-34,00439136
0,016145833;-19,5090322;-23,66638026
0,01640625;-9,801714033;-12,15869772
0,016666667;5,97222E-13;7,50968E-13
