tempo(s);i1(t);i2(t)
0,000260417;9,801714033;31,45447761
0,000520833;19,5090322;43,18952667
0,00078125;29,02846773;50,49005785
0,001041667;38,26834324;53,92304575
0,001302083;47,13967368;54,77805468
0,0015625;55,5570233;54,74186788
0,001822917;63,43932842;55,49119003
0,002083333;70,71067812;58,29886333
0,00234375;77,30104534;63,74503554
0,002604167;83,14696123;71,59902433
0,002864583;88,19212643;80,89708012
0,003125;92,38795325;90,19467133
0,003385417;95,69403357;97,9301394
0,003645833;98,07852804;102,811714
0,00390625;99,51847267;104,1338079
0,004166667;100;101,9463429
0,004427083;99,51847267;97,0368273
0,0046875;98,07852804;90,72928631
0,004947917;95,69403357;84,54917236
0,005208333;92,38795325;79,83502686
0,00546875;88,19212643;77,39142583
0,005729167;83,14696123;77,26837629
0,005989583;77,30104534;78,72211377
0,00625;70,71067812;80,36993638
0,006510417;63,43932842;80,50492382
0,006770833;55,5570233;77,49837521
0,00703125;47,13967368;70,19591143
0,007291667;38,26834324;58,21413231
0,007552083;29,02846773;42,06689031
0,0078125;19,5090322;23,08941832
0,008072917;9,801714033;3,176656048
0,008333333;5,67E-14;-15,60657922
0,00859375;-9,801714033;-31,4544598
0,008854167;-19,5090322;-43,18955098
0,009114583;-29,02846773;-50,49005119
0,009375;-38,26834324;-53,92304334
0,009635417;-47,13967368;-54,77805497
0,009895833;-55,5570233;-54,74186775
0,01015625;-63,43932842;-55,49118796
0,010416667;-70,71067812;-58,29887381
0,010677083;-77,30104534;-63,7450269
0,0109375;-83,14696123;-71,59901308
0,011197917;-88,19212643;-80,8971046
0,011458333;-92,38795325;-90,19466011
0,01171875;-95,69403357;-97,93013111
0,011979167;-98,07852804;-102,8117221
0,012239583;-99,51847267;-104,1338086
0,0125;-100;-101,9463477
0,012760417;-99,51847267;-97,03681231
0,013020833;-98,07852804;-90,72929462
0,01328125;-95,69403357;-84,54917958
0,013541667;-92,38795325;-79,83501751
0,013802083;-88,19212643;-77,3914274
0,0140625;-83,14696123;-77,2683752
0,014322917;-77,30104534;-78,72211843
0,014583333;-70,71067812;-80,36993487
0,01484375;-63,43932842;-80,50492534
0,015104167;-55,5570233;-77,49836236
0,015364583;-47,13967368;-70,19592378
0,015625;-38,26834324;-58,21415051
0,015885417;-29,02846773;-42,06684463
0,016145833;-19,5090322;-23,08944365
0,01640625;-9,801714033;-3,176681244
0,016666667;5,97E-13;15,60662421
